age,year_id,a,b,k,lower,upper,fit,mx,age_group_name,sex
65,1991,-4.23765384171027,0.0523252167290985,1.6137962297553,,,0.0157138686314585,0.015689615,65 to 69,Female
65,1983,-4.23765384171027,0.0523252167290985,3.04234305527308,,,0.0169334794870367,0.016689622,65 to 69,Female
65,2011,-4.23765384171027,0.0523252167290985,-3.23975431236621,,,0.0121895690574133,0.012145324,65 to 69,Female
65,2013,-4.23765384171027,0.0523252167290985,-3.56983723202498,,,0.0119808426756559,0.011726642,65 to 69,Female
65,2027,-4.23765384171027,0.0523252167290985,-5.25941617494593,0.0101632035999856,0.011834618229466,0.0109671160563825,,65 to 69,Female
65,2009,-4.23765384171027,0.0523252167290985,-2.67481113678473,,,0.0125552808863722,0.012537571,65 to 69,Female
65,2015,-4.23765384171027,0.0523252167290985,-3.35224629765205,,,0.0121180299641563,0.01158704,65 to 69,Female
65,2035,-4.23765384171027,0.0523252167290985,-6.87176137911154,0.00910113461591807,0.0111637394699542,0.010079816254927,,65 to 69,Female
65,2010,-4.23765384171027,0.0523252167290985,-3.2026275328138,,,0.0122132723447032,0.012166119,65 to 69,Female
65,2017,-4.23765384171027,0.0523252167290985,-3.24398466973892,,,0.012186871141687,0.011666138,65 to 69,Female
65,1989,-4.23765384171027,0.0523252167290985,2.41298261223087,,,0.016384917964928,0.015957838,65 to 69,Female
65,2014,-4.23765384171027,0.0523252167290985,-3.61118602767407,,,0.0119549491293648,0.011648289,65 to 69,Female
65,1980,-4.23765384171027,0.0523252167290985,4.21311189952702,,,0.0180032704042656,0.016940616,65 to 69,Female
65,1982,-4.23765384171027,0.0523252167290985,3.346059862701,,,0.0172047368606007,0.01660139,65 to 69,Female
65,2016,-4.23765384171027,0.0523252167290985,-3.12912331189653,,,0.0122603365575174,0.011637878,65 to 69,Female
65,2034,-4.23765384171027,0.0523252167290985,-6.67021822859084,0.00922412676517284,0.011249673655354,0.01018667835282,,65 to 69,Female
65,1993,-4.23765384171027,0.0523252167290985,1.40438829832797,,,0.0155426267059657,0.015728851,65 to 69,Female
65,2018,-4.23765384171027,0.0523252167290985,-3.44552782025962,0.011772187692614,0.0123528538880429,0.0120590262670532,,65 to 69,Female
65,1990,-4.23765384171027,0.0523252167290985,1.88358284683731,,,0.0159372688288956,0.015697285,65 to 69,Female
65,1981,-4.23765384171027,0.0523252167290985,3.75676062249742,,,0.0175784681242098,0.016873714,65 to 69,Female
65,2033,-4.23765384171027,0.0523252167290985,-6.46867507807014,0.00934958464634744,0.0113352949439449,0.0102946733590594,,65 to 69,Female
65,1992,-4.23765384171027,0.0523252167290985,1.20593840772504,,,0.0153820681606104,0.01548735,65 to 69,Female
65,1997,-4.23765384171027,0.0523252167290985,0.394301895461333,,,0.0147424836434419,0.015283748,65 to 69,Female
65,2026,-4.23765384171027,0.0523252167290985,-5.05787302442523,0.0103111529054887,0.0119134516728278,0.0110833849446222,,65 to 69,Female
65,1994,-4.23765384171027,0.0523252167290985,1.1776177743765,,,0.0153592906120266,0.015673423,65 to 69,Female
